n,has_opt,opt_len,run,aco_len,sa_len,aco_ms,sa_ms,aco_ratio,sa_ratio
50,0,,1,608.596,599.877,331.801,26.7193,,
50,0,,2,627.564,585.821,325.696,26.6488,,
50,0,,3,611.803,588.848,327.41,26.622,,
50,0,,4,636.38,579.459,324.649,26.631,,
50,0,,5,606.828,607.552,326.68,26.8897,,
50,0,,6,650.885,567.938,326.627,26.9435,,
50,0,,7,628.105,590.148,325.497,26.6508,,
50,0,,8,663.044,573.972,324.188,26.6321,,
50,0,,9,606.261,584.074,324.786,26.7665,,
50,0,,10,636.143,599.741,325.58,26.6048,,
