n,has_opt,opt_len,run,aco_len,sa_len,aco_ms,sa_ms,aco_ratio,sa_ratio
100,0,,1,929.562,848.587,1235.61,43.9243,,
100,0,,2,915.128,853.302,1212.27,44.527,,
100,0,,3,939.836,880.872,1210.57,43.9128,,
100,0,,4,894.493,935.873,1212.2,43.8498,,
100,0,,5,909.502,870.306,1212.25,44.0707,,
100,0,,6,920.141,896.685,1217.06,44.0444,,
100,0,,7,953.212,918.98,1224.93,44.04,,
100,0,,8,892.488,915.99,1213.65,43.8397,,
100,0,,9,926.729,851.406,1212.42,43.8922,,
100,0,,10,875.222,833.679,1213.79,43.9739,,
